Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,duration_in min/ms,time_signature,release_year
Nathan Goshen,26,39.0,0.471,0.832,1.0,-5.606,0,0.12,0.0333,0.0937,0.679,193.946,197773.0,4,2019
Ohmme,3 2 4 3,31.0,0.449,0.684,7.0,-8.116,1,0.0358,0.0925,0.104,0.306,129.585,245506.0,1,2020
The Black Crowes,30 Days In The Hole,41.0,0.566,0.895,9.0,-4.056,1,0.0406,0.0563,0.151,0.702,120.118,226720.0,4,1999
3d Blast,3rD BEST,32.0,0.377,0.773,4.0,-7.417,1,0.0732,0.0481,0.87,0.548,119.883,242817.0,4,2018
Seddy Hendrinx,45 (feat. A Boogie Wit da Hoodie),51.0,0.861,0.582,10.0,-8.078,1,0.226,0.00621,0.103,0.607,85.007,155224.0,4,2020
A. Nayaka,4OAK,45.0,0.753,0.761,5.0,-5.735,0,0.153,0.312,0.077,0.805,147.05,182857.0,4,2022
Brian Owens,A Change Is Gonna Come,41.0,0.619,0.405,10.0,-6.802,1,0.0273,0.391,0.0736,0.562,128.958,276609.0,3,1968
Taking Back Sunday,A Decade Under The Influence,58.0,0.491,0.904,9.0,-4.729,1,0.0765,0.00929,0.106,0.607,156.031,247760.0,4,2004
The Smithereens,A Girl Like You,52.0,0.657,0.828,1.0,-9.344,1,0.0283,0.0892,0.0575,0.908,123.799,282867.0,4,1989
Screams Of Syrens,A New Era,30.0,0.444,0.912,4.0,-8.007,1,0.0812,0.00269,0.308,0.31,174.949,275899.0,4,1975
Mitski,A Pearl,69.0,0.225,0.639,8.0,-4.034,1,0.0299,0.0488,0.112,0.226,83.632,156146.0,4,2019
Disturbed,A Reason to Fight,61.0,0.591,0.571,6.0,-5.573,0,0.0248,0.0158,0.13,0.26,75.04,284293.0,4,2020
A Perfect Circle,A Stranger,45.0,0.536,0.368,1.0,-12.761,0,0.0296,0.516,0.0921,0.0949,109.979,192333.0,4,2003
Lola Flores,A Tu Vera,44.0,0.431,0.381,7.0,-9.818,1,0.0369,0.643,0.124,0.57,113.331,208667.0,4,1958
"Sarthak Kalyani, Satyansh Rajat",Ab Jaane Ki Zid Na Karo,22.0,0.646,0.588,7.0,-9.429,1,0.108,0.745,0.102,0.143,95.018,302951.7,4,2019
Buck Owens,Act Naturally,58.0,0.552,0.474,7.0,-6.847,1,0.0275,0.336,0.173,0.7,92.156,239488.3,4,1963
Hollow Front,Afflicted,54.0,0.185,0.941,4.0,-5.028,0,0.129,0.029,0.109,0.169,164.215,291968.0,3,2022
The Lady Of Rage,Afro Puffs,50.0,0.799,0.876,10.0,-3.661,0,0.242,0.0424,0.308,0.525,91.35,288333.0,4,1995
Funeral Mist,Agnus Dei,24.0,0.147,0.996,11.0,-7.823,0,0.4,0.000182,0.444,0.0295,94.036,273027.0,4,2009
Elvis Costello,Alison,58.0,0.557,0.32,1.0,-10.792,0,0.0438,0.739,0.112,0.377,176.647,204533.0,4,1977
